order_id,customer_id,order_date,amount,status
1,37,2025-08-20,391.75,placed
2,166,2026-01-18,474.99,shipped
3,95,2026-06-24,289.09,cancelled
4,72,2026-06-05,17.83,returned
5,144,2026-03-22,353.5,returned
6,126,2026-05-25,427.15,cancelled
7,175,2026-02-20,335.58,returned
8,77,2025-08-03,356.23,shipped
9,131,2026-04-22,397.07,cancelled
10,142,2025-12-06,402.81,returned
11,17,2025-11-30,265.22,returned
12,82,2025-12-15,235.59,shipped
13,200,2025-10-06,95.07,cancelled
14,15,2025-11-10,80.74,delivered
15,58,2025-11-10,447.99,delivered
16,142,2025-09-16,154.9,returned
17,152,2026-05-16,89.74,returned
18,145,2026-07-19,45.21,returned
19,54,2026-01-01,310.96,returned
20,78,2025-08-17,206.02,placed
21,107,2026-04-20,173.4,delivered
22,89,2026-05-28,381.53,placed
23,120,2025-12-15,127.72,delivered
24,158,2026-05-13,407.67,delivered
25,41,2025-11-12,236.07,cancelled
26,101,2026-04-01,111.5,placed
27,153,2025-09-02,337.9,placed
28,111,2026-03-20,365.12,delivered
29,14,2026-04-25,184.45,cancelled
30,196,2025-09-17,341.8,placed
31,87,2026-01-27,378.71,returned
32,11,2026-05-24,358.23,returned
33,156,2026-05-23,167.34,shipped
34,158,2026-03-02,298.89,returned
35,182,2025-12-02,408.8,placed
36,150,2025-08-15,316.48,delivered
37,199,2026-04-08,362.09,shipped
38,185,2026-01-20,78.15,placed
39,180,2026-07-24,223.31,cancelled
40,106,2025-09-23,460.66,placed
41,133,2026-02-17,499.07,cancelled
42,45,2025-11-03,174.45,delivered
43,50,2026-03-13,281.25,delivered
44,181,2025-08-07,247.06,returned
45,185,2026-06-01,288.87,cancelled
46,198,2026-03-07,25.82,placed
47,114,2025-11-30,110.92,delivered
48,179,2026-06-08,309.76,shipped
49,136,2026-04-05,30.98,cancelled
50,198,2025-10-25,489.07,cancelled
51,52,2026-03-08,163.98,placed
52,60,2026-07-14,457.05,shipped
53,10,2026-01-11,395.04,delivered
54,3,2025-09-28,58.11,delivered
55,165,2025-11-23,445.18,returned
56,50,2026-02-14,85.43,delivered
57,4,2026-03-04,286.05,shipped
58,164,2025-12-27,260.06,placed
59,36,2026-03-28,8.38,cancelled
60,85,2025-10-13,10.66,shipped
61,31,2026-05-13,205.68,delivered
62,164,2026-03-04,186.93,shipped
63,117,2025-09-26,189.94,cancelled
64,171,2026-03-29,341.77,placed
65,136,2026-06-24,459.04,returned
66,52,2026-05-18,86.45,cancelled
67,53,2025-11-25,50.02,placed
68,132,2025-10-18,33.58,delivered
69,102,2026-08-01,374.17,placed
70,180,2026-07-03,467.62,cancelled
71,105,2026-05-25,384.08,cancelled
72,98,2026-01-21,190.94,returned
73,90,2025-10-31,199.56,shipped
74,194,2026-03-03,234.19,cancelled
75,59,2026-02-06,81.79,placed
76,170,2026-07-25,124.13,returned
77,154,2026-07-09,126.14,cancelled
78,56,2026-07-05,74.37,shipped
79,188,2025-10-11,300.97,delivered
80,37,2025-11-09,114.42,placed
81,152,2026-05-05,314.87,cancelled
82,89,2025-08-24,193.67,cancelled
83,77,2025-10-31,239.39,delivered
84,37,2026-07-04,283.38,returned
85,100,2026-04-20,168.48,cancelled
86,24,2026-04-27,30.51,returned
87,19,2025-10-06,363.53,cancelled
88,86,2026-07-26,109.84,placed
89,194,2026-03-31,349.34,cancelled
90,142,2026-03-11,193.43,delivered
91,93,2025-11-21,235.67,cancelled
92,82,2026-01-25,159.9,shipped
93,5,2025-10-07,291.68,shipped
94,59,2026-03-30,252.15,delivered
95,126,2025-09-08,371.1,delivered
96,185,2026-04-30,458.87,placed
97,20,2025-08-25,-29.01,shipped
98,60,2026-05-17,9.53,delivered
99,164,2025-09-21,456.81,
100,142,2026-07-25,267.06,delivered
101,179,2026-05-03,57.97,shipped
102,159,2026-02-02,137.33,delivered
103,118,2025-08-11,116.8,placed
104,167,2026-06-16,205.61,cancelled
105,3,2026-06-21,252.43,delivered
106,25,2026-07-12,118.73,returned
107,12,2025-08-17,463.16,returned
108,46,2026-02-22,12.75,shipped
109,183,2026-06-24,153.14,returned
110,100,2025-10-30,169.21,shipped
111,177,2025-11-19,374.0,placed
112,20,2025-09-22,477.65,delivered
113,70,2025-12-15,247.85,cancelled
114,175,2026-01-20,47.42,shipped
115,22,2026-01-20,357.28,cancelled
116,28,2026-02-26,225.14,placed
117,48,2025-10-21,279.6,placed
118,142,2025-09-30,393.3,placed
119,100,2025-10-20,453.08,returned
120,176,2026-05-23,138.11,shipped
121,112,2026-03-02,244.69,delivered
122,185,2025-10-02,310.25,shipped
123,102,2025-09-19,193.05,cancelled
124,167,2026-05-25,153.72,shipped
125,46,2026-02-20,149.27,cancelled
126,63,2026-03-12,409.16,placed
127,52,2025-10-27,94.06,placed
128,119,2026-04-17,222.04,placed
129,105,2026-05-23,318.5,shipped
130,97,2025-09-30,242.22,returned
131,178,2026-07-15,396.41,returned
132,22,2026-03-28,330.51,returned
133,166,2026-01-10,483.57,cancelled
134,26,2025-11-14,374.69,returned
135,96,2025-08-20,296.35,delivered
136,124,2026-01-02,460.67,shipped
137,88,2026-04-19,262.95,placed
138,179,2026-06-29,153.63,placed
139,88,2025-08-21,401.02,shipped
140,142,2025-10-20,216.05,cancelled
